Cleanup ID,Zone,State,Country,GPS,Cleanup Type,Cleanup Date,Group Name,Adults,Children,People,Pounds,Miles,# of bags,Cigarette Butts,"Food Wrappers (candy, chips, etc.)",Take Out/Away Containers (Plastic),Take Out/Away Containers (Foam),Bottle Caps (Plastic),Bottle Caps (Metal),Lids (Plastic),"Straws, Stirrers","Forks, Knives, Spoons",Beverage Bottles (Plastic),Beverage Bottles (Glass),Beverage Cans,Grocery Bags (Plastic),Other Plastic Bags,Paper Bags,"Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps",Fishing Net & Pieces,Fishing Line (1 yard/meter = 1 piece),Rope (1 yard/meter = 1 piece),Fishing Gear (Clean Swell),6-Pack Holders,Other Plastic/Foam Packaging,"Other Plastic Bottles (oil, bleach, etc.)",Strapping Bands,Tobacco Packaging/Wrap,Other Packaging (Clean Swell),"Appliances (refrigerators, washers, etc.)",Balloons,Cigar Tips,Cigarette Lighters,Construction Materials,Fireworks,Tires,Toys,Other Trash (Clean Swell),Condoms,Diapers,Syringes,Tampons/Tampon Applicators,Personal Hygiene (Clean Swell),Foam Pieces,Glass Pieces,Plastic Pieces,Total Items Collected
868,"Humboldt County, CA, USA","California, USA",United States,"40.7893, -124.15831","Land (beach, shoreline and inland)",9/18/15,,4,0,4,2.76,0.697,0,6,20,1,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,52
870,"Humboldt County, CA, USA","California, USA",United States,"40.78925, -124.17076","Land (beach, shoreline and inland)",9/18/15,,4,0,4,3.02,2.4168,0,4,15,1,0,3,0,0,1,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,1,53
885,"Los Angeles County, CA, USA","California, USA",United States,"33.71013, -118.28552","Land (beach, shoreline and inland)",9/19/15,,1,0,1,2.55,3.7139,0,13,5,0,0,7,0,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,47
886,"Orange County, CA, USA","California, USA",United States,"33.63799, -117.79555","Land (beach, shoreline and inland)",9/19/15,,1,0,1,0.99,0.5081,0,14,3,1,1,2,0,1,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,60
898,"Orange County, CA, USA","California, USA",United States,"33.59438, -117.87745","Land (beach, shoreline and inland)",9/19/15,,2,0,2,15.94,4.6122,0,5,4,3,1,6,0,4,2,1,7,17,8,5,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,0,0,3,11,0,0,0,0,3,0,0,4,103
900,"Humboldt County, CA, USA","California, USA",United States,"41.15944, -124.12373","Land (beach, shoreline and inland)",9/19/15,,2,0,2,7.47,43.3559,0,0,10,2,0,3,0,0,2,1,4,11,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,62
903,"Humboldt County, CA, USA","California, USA",United States,"41.04548, -124.122","Land (beach, shoreline and inland)",9/19/15,,35,0,35,82.85,13.2311,0,503,55,17,23,30,0,29,32,19,39,55,18,36,0,0,25,0,0,0,0,0,0,63,0,0,0,0,0,23,0,3,0,0,0,0,0,2,37,0,0,0,0,49,0,0,32,1090
910,"Orange County, CA, USA","California, USA",United States,"33.61912, -117.89327","Land (beach, shoreline and inland)",9/19/15,,2,0,2,6.05,1.4664,0,3,20,0,0,38,0,2,4,0,13,0,3,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,194,312
912,"Humboldt County, CA, USA","California, USA",United States,"40.80502, -124.16909","Land (beach, shoreline and inland)",9/19/15,,4,0,4,20.86,1.4996,0,584,56,3,3,15,0,5,15,2,2,5,3,8,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,63,0,0,0,0,7,0,0,61,847
913,"Humboldt County, CA, USA","California, USA",United States,"41.26698, -124.09728","Land (beach, shoreline and inland)",9/19/15,,1,0,1,0.94,0.006,0,15,6,0,0,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,33
923,"Humboldt County, CA, USA","California, USA",United States,"41.26943, -124.09778","Land (beach, shoreline and inland)",9/19/15,,2,0,2,2.42,0.6676,0,38,4,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,20,79
924,"Humboldt County, CA, USA","California, USA",,"40.84596, -124.17091","Land (beach, shoreline and inland)",9/19/15,,1,0,1,4.4,29.2613,0,4,4,1,1,3,0,2,0,3,2,2,4,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,0,0,0,0,1,0,0,3,45
925,"Humboldt County, CA, USA","California, USA",United States,"41.04726, -124.13951","Land (beach, shoreline and inland)",9/19/15,,6,0,6,27.99,36.5396,0,150,39,2,0,23,0,9,7,2,23,13,12,6,0,0,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,25,0,0,41,410
